Артикул,Средняя_позиция,Дата
364671540,318.1,2025-07-25 22:15:21
382936452,358.2,2025-07-25 22:15:21
421060912,305.8,2025-07-25 22:15:21
425542423,358.8,2025-07-25 22:15:21
425577327,412.9,2025-07-25 22:15:21
439019942,479.1,2025-07-25 22:15:21
360788540,600.1,2025-07-25 23:00:47
364671540,311.4,2025-07-25 23:00:47
382936452,309.5,2025-07-25 23:00:47
421060912,307.5,2025-07-25 23:00:47
425542423,356.2,2025-07-25 23:00:47
425577327,410.3,2025-07-25 23:00:47
439019942,569.0,2025-07-25 23:00:47
360788540,595.1,2025-07-25 23:22:08
364671540,312.4,2025-07-25 23:22:08
382936452,305.8,2025-07-25 23:22:08
421060912,305.8,2025-07-25 23:22:08
425542423,351.2,2025-07-25 23:22:08
425577327,411.9,2025-07-25 23:22:08
439019942,567.6,2025-07-25 23:22:08
360788540,614.9,2025-07-26 10:18:14
361897293,716.0,2025-07-26 10:18:14
364671540,300.8,2025-07-26 10:18:14
382936452,338.5,2025-07-26 10:18:14
421060912,322.2,2025-07-26 10:18:14
425542423,379.5,2025-07-26 10:18:14
425577327,324.3,2025-07-26 10:18:14
439019942,470.7,2025-07-26 10:18:14
360788540,621.1,2025-07-26 11:56:55
361897293,726.0,2025-07-26 11:56:55
364671540,315.2,2025-07-26 11:56:55
382936452,382.2,2025-07-26 11:56:55
421060912,326.3,2025-07-26 11:56:55
425542423,377.5,2025-07-26 11:56:55
425577327,322.7,2025-07-26 11:56:55
439019942,475.6,2025-07-26 11:56:55
360788540,626.0,2025-07-26 12:39:48
361897293,724.0,2025-07-26 12:39:48
364671540,327.1,2025-07-26 12:39:48
382936452,379.8,2025-07-26 12:39:48
421060912,335.7,2025-07-26 12:39:48
425542423,379.0,2025-07-26 12:39:48
425577327,323.0,2025-07-26 12:39:48
439019942,474.7,2025-07-26 12:39:48
360788540,574.4,2025-07-26 15:18:58
361897293,625.0,2025-07-26 15:18:58
364671540,338.2,2025-07-26 15:18:58
382936452,355.7,2025-07-26 15:18:58
421060912,314.0,2025-07-26 15:18:58
425542423,381.8,2025-07-26 15:18:58
425577327,318.6,2025-07-26 15:18:58
439019942,479.0,2025-07-26 15:18:58
